sort_order,rule_id,family,family_label,rule,condition_count,ev_min_exclusive,ai_prob_min_inclusive,odds_min_inclusive,odds_max_inclusive,bet_type,folds,train_sufficient_folds,valid_sufficient_folds,oos_sufficient_folds,oos_n,oos_unique_races,oos_hits,oos_hit_rate,oos_hit_wilson_lb,oos_payout,oos_roi,oos_profit,oos_roi_over_100_folds,oos_roi_over_100_fold_rate,oos_positive_profit_folds,oos_negative_profit_folds,oos_median_fold_n,oos_min_fold_n,oos_max_fold_n,oos_median_fold_roi,oos_min_fold_roi,oos_max_fold_roi,median_valid_oos_roi_gap,oos_max_payout,oos_max_payout_share,oos_max_payout_fold,oos_max_payout_date,oos_max_payout_race_id,oos_roi_without_max_payout,oos_profit_without_max_payout,selection_basis,baseline_oos_roi,oos_roi_vs_baseline,max_payout_dependent,stable_candidate
0,R000,BASE,無条件,AI本命・条件なし,0,,,,,単勝,8,8,8,8,6670,6670,1865,27.96,0.269,510100,76.48,-156900,0,0.0,0,8,837.5,789,863,75.61,71.08,82.27,4.24,2320,0.45,3.0,2025-01-13,202507010512,76.14,-159120,fixed_predeclared,76.48,0.0,False,False
0,R000,BASE,無条件,AI本命・条件なし,0,,,,,複勝,8,8,8,8,6671,6671,3943,59.11,0.5792,554720,83.15,-112380,0,0.0,0,8,837.5,789,863,82.97,81.78,84.54,1.22,720,0.13,5.0,2025-09-07,202509040206,83.06,-113000,fixed_predeclared,83.15,0.0,False,False
1,R001,A,EVだけ,EV > 1,1,1.0,,,,単勝,8,8,0,0,28,28,11,39.29,0.2357,5270,188.21,2470,4,50.0,4,3,3.0,0,10,163.33,57.0,1100.0,197.22,1100,20.87,7.0,2026-02-07,202610010504,154.44,1470,fixed_predeclared,76.48,111.73,True,False
1,R001,A,EVだけ,EV > 1,1,1.0,,,,複勝,8,8,0,0,28,28,20,71.43,0.5294,4270,152.5,1470,6,75.0,6,1,3.0,0,10,160.0,40.0,360.0,78.75,500,11.71,2.0,2024-12-08,202407040403,139.63,1070,fixed_predeclared,83.15,69.35,False,False
2,R002,A,EVだけ,EV > 1.05,1,1.05,,,,単勝,8,6,0,0,17,17,5,29.41,0.1328,2660,156.47,960,4,50.0,4,3,2.0,0,5,145.0,0.0,1100.0,186.67,1100,41.35,7.0,2026-02-07,202610010504,97.5,-40,fixed_predeclared,76.48,79.99,True,False
2,R002,A,EVだけ,EV > 1.05,1,1.05,,,,複勝,8,6,0,0,17,17,13,76.47,0.5274,3100,182.35,1400,6,75.0,6,1,2.0,0,5,180.0,60.0,360.0,98.0,500,16.13,2.0,2024-12-08,202407040403,162.5,1000,fixed_predeclared,83.15,99.2,False,False
3,R003,A,EVだけ,EV > 1.1,1,1.1,,,,単勝,8,0,0,0,11,11,4,36.36,0.1517,2250,204.55,1150,4,50.0,4,2,1.0,0,3,160.83,0.0,1100.0,186.67,1100,48.89,7.0,2026-02-07,202610010504,115.0,150,fixed_predeclared,76.48,128.07,True,False
3,R003,A,EVだけ,EV > 1.1,1,1.1,,,,複勝,8,0,0,0,11,11,9,81.82,0.523,2490,226.36,1390,5,62.5,5,1,1.0,0,3,238.33,60.0,500.0,130.0,500,20.08,2.0,2024-12-08,202407040403,199.0,990,fixed_predeclared,83.15,143.21,True,False
4,R004,A,EVだけ,EV > 1.15,1,1.15,,,,単勝,8,0,0,0,8,8,3,37.5,0.1368,1960,245.0,1160,3,37.5,3,3,1.0,0,2,132.5,0.0,1100.0,265.0,1100,56.12,7.0,2026-02-07,202610010504,122.86,160,fixed_predeclared,76.48,168.52,True,False
4,R004,A,EVだけ,EV > 1.15,1,1.15,,,,複勝,8,0,0,0,8,8,6,75.0,0.4093,1680,210.0,880,4,50.0,4,2,1.0,0,2,220.0,0.0,500.0,221.67,500,29.76,2.0,2024-12-08,202407040403,168.57,480,fixed_predeclared,83.15,126.85,True,False
5,R005,A,EVだけ,EV > 1.2,1,1.2,,,,単勝,8,0,0,0,6,6,2,33.33,0.0968,1630,271.67,1030,2,25.0,2,3,1.0,0,2,0.0,0.0,1100.0,410.0,1100,67.48,7.0,2026-02-07,202610010504,106.0,30,fixed_predeclared,76.48,195.19,True,False
5,R005,A,EVだけ,EV > 1.2,1,1.2,,,,複勝,8,0,0,0,6,6,5,83.33,0.4365,1450,241.67,850,4,50.0,4,1,1.0,0,2,210.0,0.0,500.0,213.34,500,34.48,2.0,2024-12-08,202407040403,190.0,450,fixed_predeclared,83.15,158.52,True,False
6,R006,A,EVだけ,EV > 1.25,1,1.25,,,,単勝,8,0,0,0,3,3,0,0.0,0.0,0,0.0,-300,0,0.0,0,2,0.0,0,2,0.0,0.0,0.0,145.0,0,,1.0,2024-07-14,202402011209,0.0,-200,fixed_predeclared,76.48,-76.48,False,False
6,R006,A,EVだけ,EV > 1.25,1,1.25,,,,複勝,8,0,0,0,3,3,3,100.0,0.4385,920,306.67,620,2,25.0,2,0,0.0,0,2,355.0,210.0,500.0,195.0,500,54.35,2.0,2024-12-08,202407040403,210.0,220,fixed_predeclared,83.15,223.52,True,False
7,R007,A,EVだけ,EV > 1.3,1,1.3,,,,単勝,8,0,0,0,3,3,0,0.0,0.0,0,0.0,-300,0,0.0,0,2,0.0,0,2,0.0,0.0,0.0,145.0,0,,1.0,2024-07-14,202402011209,0.0,-200,fixed_predeclared,76.48,-76.48,False,False
7,R007,A,EVだけ,EV > 1.3,1,1.3,,,,複勝,8,0,0,0,3,3,3,100.0,0.4385,920,306.67,620,2,25.0,2,0,0.0,0,2,355.0,210.0,500.0,195.0,500,54.35,2.0,2024-12-08,202407040403,210.0,220,fixed_predeclared,83.15,223.52,True,False
8,R008,B,AI勝率だけ,AI勝率 >= 0.2,1,,0.2,,,単勝,8,8,8,8,4773,4773,1524,31.93,0.3062,378210,79.24,-99090,0,0.0,0,8,603.5,517,667,78.49,72.21,87.58,6.58,1170,0.31,2.0,2024-10-13,202408050410,79.01,-100160,fixed_predeclared,76.48,2.76,False,False
8,R008,B,AI勝率だけ,AI勝率 >= 0.2,1,,0.2,,,複勝,8,8,8,8,4774,4774,3122,65.4,0.6403,412520,86.41,-64880,0,0.0,0,8,603.5,517,668,86.23,84.35,89.31,0.86,500,0.12,2.0,2024-12-08,202407040403,86.32,-65280,fixed_predeclared,83.15,3.26,False,False
9,R009,B,AI勝率だけ,AI勝率 >= 0.25,1,,0.25,,,単勝,8,8,8,8,3022,3022,1090,36.07,0.3438,242840,80.36,-59360,0,0.0,0,8,386.0,314,441,81.34,69.41,91.21,4.27,1100,0.45,7.0,2026-02-07,202610010504,80.02,-60360,fixed_predeclared,76.48,3.88,False,False
9,R009,B,AI勝率だけ,AI勝率 >= 0.25,1,,0.25,,,複勝,8,8,8,8,3023,3023,2125,70.29,0.6864,264330,87.44,-37970,0,0.0,0,8,386.0,314,442,88.36,82.19,89.5,1.38,360,0.14,6.0,2025-12-13,202509050312,87.35,-38230,fixed_predeclared,83.15,4.29,False,False
10,R010,B,AI勝率だけ,AI勝率 >= 0.3,1,,0.3,,,単勝,8,8,8,8,1754,1754,702,40.02,0.3775,139350,79.45,-36050,0,0.0,0,8,214.0,183,269,81.14,68.1,87.56,5.6,860,0.62,6.0,2025-11-23,202505050507,79.0,-36810,fixed_predeclared,76.48,2.97,False,False
10,R010,B,AI勝率だけ,AI勝率 >= 0.3,1,,0.3,,,複勝,8,8,8,8,1754,1754,1301,74.17,0.7207,154850,88.28,-20550,0,0.0,0,8,214.0,183,269,87.94,85.39,91.07,1.1,280,0.18,5.0,2025-08-23,202507040109,88.17,-20730,fixed_predeclared,83.15,5.13,False,False
11,R011,B,AI勝率だけ,AI勝率 >= 0.35,1,,0.35,,,単勝,8,8,8,8,937,937,419,44.72,0.4156,73580,78.53,-20120,0,0.0,0,8,114.5,91,154,78.86,61.98,91.21,7.53,560,0.76,4.0,2025-04-13,202506030607,78.01,-20580,fixed_predeclared,76.48,2.05,False,False
11,R011,B,AI勝率だけ,AI勝率 >= 0.35,1,,0.35,,,複勝,8,8,8,8,937,937,730,77.91,0.7514,83720,89.35,-9980,0,0.0,0,8,114.5,91,154,89.22,84.32,93.96,3.25,280,0.33,5.0,2025-08-23,202507040109,89.15,-10160,fixed_predeclared,83.15,6.2,False,False
12,R012,B,AI勝率だけ,AI勝率 >= 0.4,1,,0.4,,,単勝,8,8,8,8,496,496,252,50.81,0.4642,40770,82.2,-8830,0,0.0,0,8,60.5,37,91,86.65,67.25,92.86,12.29,390,0.96,7.0,2026-03-08,202609010609,81.58,-9120,fixed_predeclared,76.48,5.72,False,False
12,R012,B,AI勝率だけ,AI勝率 >= 0.4,1,,0.4,,,複勝,8,8,8,8,496,496,404,81.45,0.7779,45030,90.79,-4570,0,0.0,0,8,60.5,37,91,89.54,86.04,96.96,6.16,240,0.53,1.0,2024-08-18,202404030401,90.48,-4710,fixed_predeclared,83.15,7.64,False,False
13,R013,C,オッズ帯だけ,単勝オッズ 1.5〜30,1,,,1.5,30.0,単勝,8,8,8,8,6338,6338,1648,26.0,0.2494,482280,76.09,-151520,0,0.0,0,8,799.5,738,827,75.19,70.15,82.51,4.58,2320,0.48,3.0,2025-01-13,202507010512,75.74,-153740,fixed_predeclared,76.48,-0.39,False,False
13,R013,C,オッズ帯だけ,単勝オッズ 1.5〜30,1,,,1.5,30.0,複勝,8,8,8,8,6339,6339,3659,57.72,0.565,523980,82.66,-109920,0,0.0,0,8,799.5,738,827,82.65,81.24,84.4,1.45,720,0.14,5.0,2025-09-07,202509040206,82.56,-110540,fixed_predeclared,83.15,-0.49,False,False
14,R014,C,オッズ帯だけ,単勝オッズ 2〜20,1,,,2.0,20.0,単勝,8,8,8,8,5278,5278,1192,22.58,0.2148,398340,75.47,-129460,0,0.0,0,8,663.5,600,695,75.0,70.01,82.8,3.91,1880,0.47,4.0,2025-04-05,202509020312,75.13,-131240,fixed_predeclared,76.48,-1.01,False,False
