sort_order,rule_id,family,family_label,rule,condition_count,ev_min_exclusive,ai_prob_min_inclusive,odds_min_inclusive,odds_max_inclusive,bet_type,folds,train_sufficient_folds,valid_sufficient_folds,oos_sufficient_folds,oos_n,oos_unique_races,oos_hits,oos_hit_rate,oos_hit_wilson_lb,oos_payout,oos_roi,oos_profit,oos_roi_over_100_folds,oos_roi_over_100_fold_rate,oos_positive_profit_folds,oos_negative_profit_folds,oos_median_fold_n,oos_min_fold_n,oos_max_fold_n,oos_median_fold_roi,oos_min_fold_roi,oos_max_fold_roi,median_valid_oos_roi_gap,oos_max_payout,oos_max_payout_share,oos_max_payout_fold,oos_max_payout_date,oos_max_payout_race_id,oos_roi_without_max_payout,oos_profit_without_max_payout,selection_basis,baseline_oos_roi,oos_roi_vs_baseline,max_payout_dependent,stable_candidate
0,R000,BASE,無条件,AI本命・条件なし,0,,,,,単勝,8,8,8,8,27044,27044,9610,35.53,0.3497,2080210,76.92,-624190,0,0.0,0,8,3539.5,2858,3612,76.56,73.16,80.79,2.2,5460,0.26,2,2024-11-28,202443112802,76.72,-629550,fixed_predeclared,76.92,0.0,False,False
0,R000,BASE,無条件,AI本命・条件なし,0,,,,,複勝,8,8,8,8,27052,27052,17667,65.31,0.6474,2261640,83.6,-443560,0,0.0,0,8,3540.5,2858,3613,83.97,81.0,85.6,1.8,1650,0.07,2,2024-11-07,202444110702,83.55,-445110,fixed_predeclared,83.6,0.0,False,False
1,R001,A,EVだけ,EV > 1,1,1.0,,,,単勝,8,8,8,1,123,123,37,30.08,0.2268,15250,123.98,2950,3,37.5,3,5,15.0,10,22,86.66,40.0,232.22,96.38,2450,16.07,1,2024-09-24,202443092406,104.92,600,fixed_predeclared,76.92,47.06,False,False
1,R001,A,EVだけ,EV > 1,1,1.0,,,,複勝,8,8,8,1,123,123,82,66.67,0.5794,15380,125.04,3080,6,75.0,5,2,15.0,10,22,134.47,79.33,148.0,33.99,1090,7.09,1,2024-09-24,202443092406,117.13,2090,fixed_predeclared,83.6,41.44,False,False
2,R002,A,EVだけ,EV > 1.05,1,1.05,,,,単勝,8,8,7,0,89,89,24,26.97,0.1884,10640,119.55,1740,3,37.5,3,5,11.5,8,13,90.45,33.75,288.18,104.67,2450,23.03,1,2024-09-24,202443092406,93.07,-610,fixed_predeclared,76.92,42.63,True,False
2,R002,A,EVだけ,EV > 1.05,1,1.05,,,,複勝,8,8,7,0,89,89,58,65.17,0.5483,11580,130.11,2680,5,62.5,5,3,11.5,8,13,145.0,82.73,164.55,38.12,1090,9.41,1,2024-09-24,202443092406,119.2,1690,fixed_predeclared,83.6,46.51,False,False
3,R003,A,EVだけ,EV > 1.1,1,1.1,,,,単勝,8,8,3,0,72,72,20,27.78,0.1876,9500,131.94,2300,5,62.5,4,3,9.0,6,12,105.56,35.56,333.33,144.35,2450,25.79,1,2024-09-24,202443092406,99.3,-50,fixed_predeclared,76.92,55.02,True,False
3,R003,A,EVだけ,EV > 1.1,1,1.1,,,,複勝,8,8,3,0,72,72,46,63.89,0.5235,9680,134.44,2480,5,62.5,5,3,9.0,6,12,132.5,84.44,217.5,62.21,1090,11.26,1,2024-09-24,202443092406,120.99,1490,fixed_predeclared,83.6,50.84,False,False
4,R004,A,EVだけ,EV > 1.15,1,1.15,,,,単勝,8,8,1,0,66,66,18,27.27,0.18,8750,132.58,2150,4,50.0,4,4,8.0,5,11,100.45,30.91,333.33,132.12,2450,28.0,1,2024-09-24,202443092406,96.92,-200,fixed_predeclared,76.92,55.66,True,False
4,R004,A,EVだけ,EV > 1.15,1,1.15,,,,複勝,8,8,1,0,66,66,44,66.67,0.5466,9340,141.52,2740,6,75.0,6,2,8.0,5,11,137.28,90.0,217.5,56.09,1090,11.67,1,2024-09-24,202443092406,126.92,1750,fixed_predeclared,83.6,57.92,False,False
5,R005,A,EVだけ,EV > 1.2,1,1.2,,,,単勝,8,8,0,0,58,58,16,27.59,0.1775,8340,143.79,2540,4,50.0,4,4,7.0,5,10,109.44,19.0,375.0,151.34,2450,29.38,1,2024-09-24,202443092406,103.33,190,fixed_predeclared,76.92,66.87,True,False
5,R005,A,EVだけ,EV > 1.2,1,1.2,,,,複勝,8,8,0,0,58,58,41,70.69,0.5799,8940,154.14,3140,6,75.0,6,2,7.0,5,10,151.82,90.0,248.57,78.21,1090,12.19,1,2024-09-24,202443092406,137.72,2150,fixed_predeclared,83.6,70.54,False,False
6,R006,A,EVだけ,EV > 1.25,1,1.25,,,,単勝,8,8,0,0,48,48,13,27.08,0.1657,7570,157.71,2770,4,50.0,4,4,6.0,3,9,142.78,0.0,428.57,199.64,2450,32.36,1,2024-09-24,202443092406,108.94,420,fixed_predeclared,76.92,80.79,True,False
6,R006,A,EVだけ,EV > 1.25,1,1.25,,,,複勝,8,8,0,0,48,48,35,72.92,0.59,7980,166.25,3180,8,100.0,7,0,6.0,3,9,161.11,100.0,246.67,80.0,1090,13.66,1,2024-09-24,202443092406,146.6,2190,fixed_predeclared,83.6,82.65,False,False
7,R007,A,EVだけ,EV > 1.3,1,1.3,,,,単勝,8,8,0,0,42,42,10,23.81,0.1348,6530,155.48,2330,4,50.0,4,4,4.5,3,9,142.78,0.0,612.5,199.72,2450,37.52,1,2024-09-24,202443092406,99.51,-20,fixed_predeclared,76.92,78.56,True,False
7,R007,A,EVだけ,EV > 1.3,1,1.3,,,,複勝,8,8,0,0,42,42,30,71.43,0.5643,7120,169.52,2920,8,100.0,8,0,4.5,3,9,161.11,103.33,305.0,69.4,1090,15.31,1,2024-09-24,202443092406,147.07,1930,fixed_predeclared,83.6,85.92,False,False
8,R008,B,AI勝率だけ,AI勝率 >= 0.2,1,,0.2,,,単勝,8,8,8,8,21010,21010,8412,40.04,0.3938,1651280,78.59,-449720,0,0.0,0,8,2751.5,2214,2862,78.34,74.98,84.4,3.47,5460,0.33,2,2024-11-28,202443112802,78.34,-455080,fixed_predeclared,76.92,1.67,False,False
