sort_order,strategy_id,target_set,target_set_label,bet_type,strategy,oos_n,oos_races,oos_tickets,oos_hit_races,oos_hit_tickets,oos_hit_rate,oos_stake,oos_payout,oos_payout_total,oos_roi,oos_profit,oos_avg_tickets_per_race,oos_days,oos_avg_tickets_per_day,oos_max_payout,oos_max_payout_contribution,oos_max_payout_fold,oos_max_payout_date,oos_max_payout_race_id,oos_roi_without_max_payout,folds,active_folds,fold_median_oos_roi,fold_min_oos_roi,fold_std_oos_roi,oos_roi_over_100_folds,fold_win_rate,selection_basis,oos_evaluation_only,baseline_strategy_id,baseline_target_set,baseline_oos_roi,oos_roi_vs_baseline,stable_candidate
0,WIN_ALL,T1,AI順位1位,単勝,AI順位1位の全馬を単勝,6670,6670,6670,1865,1865,27.96,667000,510100,510100,76.48,-156900,1.0,216,30.88,2320,0.45,3,2025-01-13,202507010512,76.14,8,8,75.61,71.08,3.56,0,0.0,fixed_predeclared,True,WIN_ALL,T1,76.48,0.0,False
1,WIN_ALL,T2,AI順位1〜2位,単勝,AI順位1〜2位の全馬を単勝,6670,6670,13340,3082,3082,46.21,1334000,1045450,1045450,78.37,-288550,2.0,216,61.759,4080,0.39,6,2025-12-14,202506050407,78.08,8,8,78.12,70.79,4.28,0,0.0,fixed_predeclared,True,WIN_ALL,T1,76.48,1.89,False
2,WIN_ALL,T3,AI順位1〜3位,単勝,AI順位1〜3位の全馬を単勝,6668,6668,20004,3933,3933,58.98,2000400,1551660,1551660,77.57,-448740,3.0,216,92.611,6130,0.4,7,2026-01-25,202610010204,77.27,8,8,77.64,69.08,5.58,0,0.0,fixed_predeclared,True,WIN_ALL,T1,76.48,1.09,False
3,WIN_ALL,T4,AI勝率20%以上,単勝,AI勝率20%以上の全馬を単勝,4773,4773,6400,1915,1915,40.12,640000,507660,507660,79.32,-132340,1.341,216,29.63,1500,0.3,8,2026-05-10,202604010411,79.11,8,8,80.25,69.47,5.11,0,0.0,fixed_predeclared,True,WIN_ALL,T1,76.48,2.84,False
4,WIN_ALL,T5,AI勝率25%以上,単勝,AI勝率25%以上の全馬を単勝,3022,3022,3436,1204,1204,39.84,343600,274210,274210,79.81,-69390,1.137,216,15.907,1100,0.4,7,2026-02-07,202610010504,79.51,8,8,79.72,66.88,6.48,0,0.0,fixed_predeclared,True,WIN_ALL,T1,76.48,3.33,False
5,WIN_ALL,T6,AI順位が市場順位より2以上高い馬,単勝,AI順位が市場順位より2以上高い馬の全馬を単勝,6295,6295,21010,681,681,10.82,2101000,1543700,1543700,73.47,-557300,3.338,216,97.269,38820,2.51,7,2026-01-31,202610010306,71.64,8,8,70.84,53.34,17.27,1,12.5,fixed_predeclared,True,WIN_ALL,T1,76.48,-3.01,False
6,WIN_ALL,T7,EV>1.05,単勝,EV>1.05の全馬を単勝,53,53,172,18,18,33.96,17200,14450,14450,84.01,-2750,3.245,42,4.095,3030,20.97,1,2024-07-14,202402011209,70.06,8,8,70.49,31.74,62.64,3,37.5,fixed_predeclared,True,WIN_ALL,T1,76.48,7.53,False
7,WIN_ALL,T8,EV>1.10,単勝,EV>1.10の全馬を単勝,38,38,119,13,13,34.21,11900,11460,11460,96.3,-440,3.132,31,3.839,3030,26.44,1,2024-07-14,202402011209,76.64,8,8,68.89,0.0,42.56,3,37.5,fixed_predeclared,True,WIN_ALL,T1,76.48,19.82,False
8,PLACE_ALL,T1,AI順位1位,複勝,AI順位1位の全馬を複勝,6647,6647,6647,3943,3943,59.32,664700,554720,554720,83.45,-109980,1.0,216,30.773,720,0.13,5,2025-09-07,202509040206,83.36,8,8,83.18,81.97,1.17,0,0.0,fixed_predeclared,True,PLACE_ALL,T1,83.45,0.0,False
9,PLACE_ALL,T2,AI順位1〜2位,複勝,AI順位1〜2位の全馬を複勝,6623,6623,13246,5286,7002,79.81,1324600,1084830,1084830,81.9,-239770,2.0,216,61.324,1470,0.14,2,2024-11-30,202407040102,81.8,8,8,82.28,78.47,1.71,0,0.0,fixed_predeclared,True,PLACE_ALL,T1,83.45,-1.55,False
