sort_order,strategy_id,target_set,target_set_label,bet_type,strategy,oos_n,oos_races,oos_tickets,oos_hit_races,oos_hit_tickets,oos_hit_rate,oos_stake,oos_payout,oos_payout_total,oos_roi,oos_profit,oos_avg_tickets_per_race,oos_days,oos_avg_tickets_per_day,oos_max_payout,oos_max_payout_contribution,oos_max_payout_fold,oos_max_payout_date,oos_max_payout_race_id,oos_roi_without_max_payout,folds,active_folds,fold_median_oos_roi,fold_min_oos_roi,fold_std_oos_roi,oos_roi_over_100_folds,fold_win_rate,selection_basis,oos_evaluation_only,baseline_strategy_id,baseline_target_set,baseline_oos_roi,oos_roi_vs_baseline,stable_candidate
0,WIN_ALL,T1,AI順位1位,単勝,AI順位1位の全馬を単勝,27044,27044,27044,9610,9610,35.53,2704400,2080210,2080210,76.92,-624190,1.0,728,37.148,5460,0.26,2,2024-11-28,202443112802,76.72,8,8,76.56,73.16,2.28,0,0.0,fixed_predeclared,True,WIN_ALL,T1,76.92,0.0,False
1,WIN_ALL,T2,AI順位1〜2位,単勝,AI順位1〜2位の全馬を単勝,27035,27035,54070,14752,14752,54.57,5407000,4053780,4053780,74.97,-1353220,2.0,728,74.272,9800,0.24,3,2025-02-12,202543021202,74.79,8,8,74.44,72.29,1.83,0,0.0,fixed_predeclared,True,WIN_ALL,T1,76.92,-1.95,False
2,WIN_ALL,T3,AI順位1〜3位,単勝,AI順位1〜3位の全馬を単勝,27030,27030,81090,18279,18279,67.62,8109000,6068150,6068150,74.83,-2040850,3.0,728,111.387,9800,0.16,3,2025-02-12,202543021202,74.71,8,8,74.61,71.89,1.82,0,0.0,fixed_predeclared,True,WIN_ALL,T1,76.92,-2.09,False
3,WIN_ALL,T4,AI勝率20%以上,単勝,AI勝率20%以上の全馬を単勝,21006,21006,29141,10513,10513,50.05,2914100,2281150,2281150,78.28,-632950,1.387,728,40.029,5460,0.24,2,2024-11-28,202443112802,78.1,8,8,78.13,76.36,2.09,0,0.0,fixed_predeclared,True,WIN_ALL,T1,76.92,1.36,False
4,WIN_ALL,T5,AI勝率25%以上,単勝,AI勝率25%以上の全馬を単勝,13948,13948,15690,6969,6969,49.96,1569000,1257400,1257400,80.14,-311600,1.125,728,21.552,2450,0.19,1,2024-09-24,202443092406,79.99,8,8,80.45,77.32,1.99,0,0.0,fixed_predeclared,True,WIN_ALL,T1,76.92,3.22,False
5,WIN_ALL,T6,AI順位が市場順位より2以上高い馬,単勝,AI順位が市場順位より2以上高い馬の全馬を単勝,24196,24196,54210,1962,1962,8.11,5421000,3857080,3857080,71.15,-1563920,2.24,728,74.464,26920,0.7,6,2025-10-05,202554100504,70.66,8,8,73.98,57.8,7.81,0,0.0,fixed_predeclared,True,WIN_ALL,T1,76.92,-5.77,False
6,WIN_ALL,T7,EV>1.05,単勝,EV>1.05の全馬を単勝,148,148,573,88,88,59.46,57300,60880,60880,106.25,3580,3.872,136,4.213,4490,7.38,7,2026-01-13,202654011302,99.98,8,8,105.02,75.33,25.21,4,50.0,fixed_predeclared,True,WIN_ALL,T1,76.92,29.33,False
7,WIN_ALL,T8,EV>1.10,単勝,EV>1.10の全馬を単勝,110,110,470,72,72,65.45,47000,51920,51920,110.47,4920,4.273,105,4.476,4490,8.65,7,2026-01-13,202654011302,102.66,8,8,102.77,84.6,30.57,5,62.5,fixed_predeclared,True,WIN_ALL,T1,76.92,33.55,True
8,PLACE_ALL,T1,AI順位1位,複勝,AI順位1位の全馬を複勝,26778,26778,26778,17667,17667,65.98,2677800,2261640,2261640,84.46,-416160,1.0,728,36.783,1650,0.07,2,2024-11-07,202444110702,84.4,8,8,84.65,82.29,1.19,0,0.0,fixed_predeclared,True,PLACE_ALL,T1,84.46,0.0,False
9,PLACE_ALL,T2,AI順位1〜2位,複勝,AI順位1〜2位の全馬を複勝,26427,26427,52854,22692,31249,85.87,5285400,4317490,4317490,81.69,-967910,2.0,728,72.602,1720,0.04,5,2025-08-05,202530080506,81.66,8,8,81.94,79.55,1.37,0,0.0,fixed_predeclared,True,PLACE_ALL,T1,84.46,-2.77,False
10,PLACE_ALL,T3,AI順位1〜3位,複勝,AI順位1〜3位の全馬を複勝,26002,26002,78006,24407,41628,93.87,7800600,6209410,6209410,79.6,-1591190,3.0,728,107.151,2210,0.04,4,2025-06-25,202530062507,79.58,8,8,79.6,77.51,1.04,0,0.0,fixed_predeclared,True,PLACE_ALL,T1,84.46,-4.86,False
11,PLACE_ALL,T4,AI勝率20%以上,複勝,AI勝率20%以上の全馬を複勝,20497,20497,27879,16021,19431,78.16,2787900,2396160,2396160,85.95,-391740,1.36,728,38.295,1090,0.05,1,2024-09-24,202443092406,85.91,8,8,86.25,84.27,0.98,0,0.0,fixed_predeclared,True,PLACE_ALL,T1,84.46,1.49,False
12,PLACE_ALL,T5,AI勝率25%以上,複勝,AI勝率25%以上の全馬を複勝,13721,13721,15337,10821,11770,78.86,1533700,1368980,1368980,89.26,-164720,1.118,728,21.067,1090,0.08,1,2024-09-24,202443092406,89.19,8,8,88.77,87.67,1.52,0,0.0,fixed_predeclared,True,PLACE_ALL,T1,84.46,4.8,False
13,PLACE_ALL,T6,AI順位が市場順位より2以上高い馬,複勝,AI順位が市場順位より2以上高い馬の全馬を複勝,23955,23955,53820,8226,9030,34.34,5382000,3679030,3679030,68.36,-1702970,2.247,728,73.929,6910,0.19,7,2026-02-17,202644021702,68.23,8,8,70.04,60.33,4.0,0,0.0,fixed_predeclared,True,PLACE_ALL,T1,84.46,-16.1,False
14,PLACE_ALL,T7,EV>1.05,複勝,EV>1.05の全馬を複勝,141,141,543,126,257,89.36,54300,70840,70840,130.46,16540,3.851,130,4.177,4140,5.84,6,2025-12-16,202536121605,124.91,8,8,124.82,103.46,24.28,8,100.0,fixed_predeclared,True,PLACE_ALL,T1,84.46,46.0,True
15,PLACE_ALL,T8,EV>1.10,複勝,EV>1.10の全馬を複勝,104,104,445,94,206,90.38,44500,58500,58500,131.46,14000,4.279,99,4.495,4140,7.08,6,2025-12-16,202536121605,124.68,8,8,126.84,96.25,26.98,7,87.5,fixed_predeclared,True,PLACE_ALL,T1,84.46,47.0,True
16,W1,FIXED,対象馬セット非依存,ワイド,AI1位-2位,27051,27051,27051,8953,8953,33.1,2705100,1970820,1970820,72.86,-734280,1.0,728,37.158,4470,0.23,2,2024-11-28,202443112802,72.69,8,8,72.64,69.85,2.37,0,0.0,fixed_predeclared,True,W1,FIXED,72.86,0.0,False
17,W2,FIXED,対象馬セット非依存,ワイド,AI1位からAI2〜3位へ流し,27051,27051,54102,13146,15890,48.6,5410200,3972810,3972810,73.43,-1437390,2.0,728,74.316,9300,0.23,7,2026-01-02,202650010205,73.26,8,8,73.67,69.18,2.58,0,0.0,fixed_predeclared,True,W1,FIXED,72.86,0.57,False
18,W3,FIXED,対象馬セット非依存,ワイド,AI上位3頭BOX,27051,27051,81153,15742,21231,58.19,8115300,6054830,6054830,74.61,-2060470,3.0,728,111.474,10430,0.17,7,2026-01-02,202650010205,74.48,8,8,75.47,69.46,2.45,0,0.0,fixed_predeclared,True,W1,FIXED,72.86,1.75,False
19,W4,T4,AI勝率20%以上,ワイド,AI1位からAI勝率20%以上の全馬へ流し,7255,7255,8143,3536,3759,48.74,814300,636190,636190,78.13,-178110,1.122,727,11.201,2240,0.35,6,2025-12-22,202542122204,77.89,8,8,78.65,72.1,2.55,0,0.0,fixed_predeclared,True,W1,FIXED,72.86,5.27,False
20,W4,T5,AI勝率25%以上,ワイド,AI1位からAI勝率25%以上の全馬へ流し,1710,1710,1746,1038,1046,60.7,174600,147450,147450,84.45,-27150,1.021,640,2.728,710,0.48,5,2025-07-29,202546072902,84.09,8,8,83.56,78.36,4.43,0,0.0,fixed_predeclared,True,W1,FIXED,72.86,11.59,False
21,W4,T6,AI順位が市場順位より2以上高い馬,ワイド,AI1位からAI順位が市場順位より2以上高い馬の全馬へ流し,23362,23362,48289,3636,3787,15.56,4828900,3366330,3366330,69.71,-1462570,2.067,728,66.331,26460,0.79,7,2026-02-17,202644021702,69.17,8,8,72.15,55.23,6.36,0,0.0,fixed_predeclared,True,W1,FIXED,72.86,-3.15,False
