market,strategy,segment,bets,races,bets_per_race,hits,hit_rate,roi,roi_without_max,max_payout,max_share
jra,current_win_axis_max6,late_r7plus_place_gap_lt05_entropy_ge085,2601,451,5.767184035476719,173,6.651287966166859,83.8715878508266,81.30718954248366,6670.0,0.03057529223011689
jra,win_axis1_max3,late_r7plus_place_gap_lt05_entropy_ge085,1308,450,2.9066666666666667,93,7.110091743119266,79.35779816513761,76.14678899082568,4200.0,0.04046242774566474
jra,place_axis1_max3,late_r7plus_place_gap_lt05_entropy_ge085,1343,451,2.977827050997783,99,7.371556217423679,82.43484735666418,79.30752047654505,4200.0,0.03793695239815735
jra,pair_probability_top1,late_r7plus_place_gap_lt05_entropy_ge085,451,451,1.0,44,9.75609756097561,81.50776053215077,75.65410199556541,2640.0,0.07181719260065289
jra,pair_probability_top2,late_r7plus_place_gap_lt05_entropy_ge085,902,451,2.0,81,8.980044345898005,75.28824833702882,72.36141906873614,2640.0,0.03887498159328523
jra,pair_probability_top3,late_r7plus_place_gap_lt05_entropy_ge085,1351,451,2.9955654101995566,106,7.846039970392302,72.79792746113989,70.8438193930422,2640.0,0.026842907981698017
jra,independent_product_top1,late_r7plus_place_gap_lt05_entropy_ge085,451,451,1.0,40,8.869179600886918,87.91574279379158,82.06208425720621,2640.0,0.06658259773013872
jra,independent_product_top2,late_r7plus_place_gap_lt05_entropy_ge085,902,451,2.0,78,8.647450110864744,99.93348115299335,94.90022172949003,4540.0,0.05036609718216108
jra,independent_product_top3,late_r7plus_place_gap_lt05_entropy_ge085,1351,451,2.9955654101995566,110,8.142116950407106,93.60473723168023,88.7860843819393,6510.0,0.05147872845168433
local,current_win_axis_max6,late_r7plus_place_gap_lt05_entropy_ge085,13699,2381,5.753464930701386,1144,8.350974523687862,73.348419592671,72.77830498576539,7810.0,0.007772691082802548
local,win_axis1_max3,late_r7plus_place_gap_lt05_entropy_ge085,6869,2380,2.8861344537815126,590,8.589314310671131,72.455961566458,71.31896928228272,7810.0,0.015692184046614426
local,place_axis1_max3,late_r7plus_place_gap_lt05_entropy_ge085,7005,2381,2.9420411591768163,640,9.136331192005711,73.88865096359743,72.8665239114918,7160.0,0.013833342993489055
local,pair_probability_top1,late_r7plus_place_gap_lt05_entropy_ge085,2381,2381,1.0,324,13.60772784544309,72.43595128097438,71.36917261654767,2540.0,0.014727198933147794
local,pair_probability_top2,late_r7plus_place_gap_lt05_entropy_ge085,4761,2381,1.999580008399832,612,12.854442344045369,75.74249107330392,75.20898970804453,2540.0,0.007043620531876542
local,pair_probability_top3,late_r7plus_place_gap_lt05_entropy_ge085,7133,2381,2.99580008399832,838,11.748212533295948,76.31150988363942,75.90915463339408,2870.0,0.005272536880201349
local,independent_product_top1,late_r7plus_place_gap_lt05_entropy_ge085,2381,2381,1.0,253,10.625787484250315,76.98866022679546,75.42209155816883,3730.0,0.020348044296546835
local,independent_product_top2,late_r7plus_place_gap_lt05_entropy_ge085,4761,2381,1.999580008399832,498,10.459987397605545,73.60218441503886,72.81873555975635,3730.0,0.01064436961360653
local,independent_product_top3,late_r7plus_place_gap_lt05_entropy_ge085,7133,2381,2.99580008399832,717,10.051871582784242,74.53666059161642,73.84550679938314,4930.0,0.009272669136870615
