market,axis_rank,hole_rank,bets,races,bets_per_race,hits,hit_rate,roi,roi_without_max,max_payout,max_share
jra,1,1,3295,3295,1.0,371,11.25948406676783,92.44006069802731,91.17754172989378,4160.0,0.01365770379854887
jra,1,2,3309,3309,1.0,302,9.126624357812029,76.58507101843458,74.88667271078876,5620.0,0.02217662378659932
jra,1,3,3297,3297,1.0,247,7.4916590840157715,72.56293600242645,69.90900818926296,8750.0,0.03657415147968567
jra,2,1,3153,3153,1.0,261,8.277830637488107,101.82048842372343,98.6964795432921,9850.0,0.030681535011213557
jra,2,2,3213,3213,1.0,222,6.909430438842204,82.24712107065048,79.80080921257392,7860.0,0.029743434496329373
jra,2,3,3244,3244,1.0,179,5.517879161528977,82.577065351418,77.44143033292232,16660.0,0.06219202628042407
local,1,1,19789,19789,1.0,3224,16.29187932689878,77.4369599272323,77.18530496740614,4980.0,0.003249804228660924
local,1,2,19999,19999,1.0,2417,12.08560428021401,74.10620531026551,73.64318215910795,9260.0,0.006248102290745927
local,1,3,19756,19756,1.0,1933,9.784369305527434,71.36971046770601,70.97438752783964,7810.0,0.005539085660789515
local,2,1,18594,18594,1.0,2192,11.788749058836185,77.59653651715607,77.19049155641605,7550.0,0.005232771705606343
local,2,2,19447,19447,1.0,1651,8.48974134827994,73.71728287139405,72.97989407106495,14340.0,0.010002929728372327
local,2,3,19428,19428,1.0,1320,6.794317479925881,70.63979822935968,70.04941321803582,11470.0,0.008357682582939252
