market,strategy,venue,bets,races,bets_per_race,hits,hit_rate,roi,roi_without_max,max_payout,max_share
jra,current_win_axis_max6,中京,2246,388,5.788659793814433,185,8.23686553873553,94.3766696349065,91.47818343722173,6510.0,0.030711893192432893
jra,current_win_axis_max6,中山,2846,486,5.8559670781893,227,7.97610681658468,82.92340126493323,81.33872101194659,4510.0,0.019110169491525424
jra,current_win_axis_max6,京都,2643,457,5.783369803063457,206,7.794173287930382,83.41657207718502,79.68974650018917,9850.0,0.044677280355603935
jra,current_win_axis_max6,函館,839,144,5.826388888888889,84,10.011918951132301,103.3253873659118,97.33015494636471,5030.0,0.05802284000461414
jra,current_win_axis_max6,小倉,1285,220,5.840909090909091,86,6.692607003891051,101.90661478599222,88.94163424124514,16660.0,0.1272241313478427
jra,current_win_axis_max6,新潟,1577,271,5.819188191881919,109,6.911857958148383,74.95244134432467,71.38871274571972,5620.0,0.047546531302876484
jra,current_win_axis_max6,札幌,982,168,5.845238095238095,90,9.164969450101832,83.92057026476579,81.35437881873727,2520.0,0.030578813250819074
jra,current_win_axis_max6,東京,3118,532,5.860902255639098,284,9.108402822322,82.57536882617062,80.11225144323284,7680.0,0.02982871790888259
jra,current_win_axis_max6,福島,1327,229,5.794759825327511,93,7.008289374529013,73.04446119065561,68.28183873398643,6320.0,0.06520169194263901
jra,current_win_axis_max6,阪神,2648,456,5.807017543859649,218,8.23262839879154,79.0558912386707,76.2726586102719,7370.0,0.0352058851628929
jra,win_axis1_max3,中京,1140,388,2.9381443298969074,100,8.771929824561402,83.75438596491227,80.51754385964912,3690.0,0.03864683703393381
jra,win_axis1_max3,中山,1448,486,2.9794238683127574,120,8.287292817679557,69.98618784530387,67.2513812154696,3960.0,0.03907637655417407
jra,win_axis1_max3,京都,1334,456,2.925438596491228,128,9.5952023988006,86.34932533733134,83.83058470764618,3360.0,0.029169198715166246
jra,win_axis1_max3,函館,427,144,2.9652777777777777,49,11.475409836065573,110.86651053864169,99.08665105386417,5030.0,0.10625264047317279
jra,win_axis1_max3,小倉,656,220,2.981818181818182,47,7.164634146341463,88.09451219512195,74.7560975609756,8750.0,0.15141027859491263
jra,win_axis1_max3,新潟,800,271,2.952029520295203,66,8.25,81.1,74.075,5620.0,0.08662145499383476
jra,win_axis1_max3,札幌,495,168,2.9464285714285716,55,11.11111111111111,87.45454545454545,83.11111111111111,2150.0,0.049665049665049664
jra,win_axis1_max3,東京,1587,532,2.9830827067669174,168,10.58601134215501,77.94580970384374,75.86641461877757,3300.0,0.02667744543249798
jra,win_axis1_max3,福島,670,229,2.925764192139738,55,8.208955223880597,78.56716417910448,74.4776119402985,2740.0,0.05205167173252279
jra,win_axis1_max3,阪神,1344,456,2.9473684210526314,132,9.821428571428571,71.13095238095238,69.28571428571429,2480.0,0.02594142259414226
jra,place_axis1_max3,中京,1150,388,2.963917525773196,112,9.73913043478261,97.76521739130435,93.83478260869565,4520.0,0.04020279284888375
jra,place_axis1_max3,中山,1457,486,2.9979423868312756,124,8.51063829787234,72.26492793411118,69.35483870967742,4240.0,0.04026973121853927
jra,place_axis1_max3,京都,1358,457,2.9715536105032823,126,9.278350515463918,81.04565537555229,78.34315169366715,3670.0,0.03334544793748864
jra,place_axis1_max3,函館,432,144,3.0,53,12.268518518518519,100.97222222222223,89.32870370370371,5030.0,0.11531407611187529
jra,place_axis1_max3,小倉,659,220,2.9954545454545456,54,8.19423368740516,106.25189681335357,92.9742033383915,8750.0,0.12496429591545273
jra,place_axis1_max3,新潟,810,271,2.988929889298893,66,8.148148148148149,78.35802469135803,71.41975308641975,5620.0,0.0885457696549551
jra,place_axis1_max3,札幌,500,168,2.9761904761904763,57,11.4,97.62,91.42,3100.0,0.06351157549682442
jra,place_axis1_max3,東京,1593,532,2.994360902255639,174,10.922787193973635,84.2435655994978,79.42247332077841,7680.0,0.05722801788375559
jra,place_axis1_max3,福島,687,229,3.0,57,8.296943231441048,70.53857350800583,66.55021834061135,2740.0,0.05654147750722245
jra,place_axis1_max3,阪神,1358,456,2.9780701754385963,133,9.793814432989691,73.2179675994109,71.2739322533137,2640.0,0.0265513426531228
jra,pair_probability_top1,中京,388,388,1.0,63,16.237113402061855,120.6701030927835,114.20103092783505,2510.0,0.05360956856044426
jra,pair_probability_top1,中山,486,486,1.0,54,11.11111111111111,61.60493827160494,59.15637860082305,1190.0,0.03974615898463594
jra,pair_probability_top1,京都,457,457,1.0,64,14.00437636761488,101.55361050328227,90.10940919037199,5230.0,0.11269123033828916
jra,pair_probability_top1,函館,144,144,1.0,23,15.972222222222221,110.20833333333333,91.875,2640.0,0.166351606805293
jra,pair_probability_top1,小倉,220,220,1.0,28,12.727272727272727,84.0,77.95454545454545,1330.0,0.07196969696969698
jra,pair_probability_top1,新潟,271,271,1.0,23,8.487084870848708,61.43911439114391,56.752767527675275,1270.0,0.07627627627627627
jra,pair_probability_top1,札幌,168,168,1.0,22,13.095238095238097,86.48809523809524,74.58333333333333,2000.0,0.13764624913971094
