market,strategy,year,bets,races,bets_per_race,hits,hit_rate,roi,roi_without_max,max_payout,max_share
jra,current_win_axis_max6,2025,19511,3351,5.822441062369442,1582,8.108246630106095,84.58971862026549,83.73584132028087,16660.0,0.010094339051035186
jra,win_axis1_max3,2025,9901,3350,2.9555223880597015,920,9.291990708009292,80.52216947783052,79.63842036157963,8750.0,0.010975227343994982
jra,place_axis1_max3,2025,10004,3351,2.985377499253954,956,9.556177528988405,83.54558176729309,82.67093162734906,8750.0,0.010469136984170666
jra,pair_probability_top1,2025,3351,3351,1.0,444,13.249776186213072,85.57743957027753,84.01671142942405,5230.0,0.018237612023572897
jra,pair_probability_top2,2025,6702,3351,2.0,798,11.906893464637422,82.59325574455386,81.81289167412713,5230.0,0.009448278353867832
jra,pair_probability_top3,2025,10046,3351,2.9979110713219934,1084,10.790364324109099,82.59506271152698,82.0744574955206,5230.0,0.006303103344380837
jra,independent_product_top1,2025,3351,3351,1.0,386,11.518949567293344,94.57176962100866,92.27991644285288,7680.0,0.02423400965573822
jra,independent_product_top2,2025,6702,3351,2.0,714,10.653536257833482,93.71829304685168,92.41271262309758,8750.0,0.013930902722496417
jra,independent_product_top3,2025,10046,3351,2.9979110713219934,1007,10.023890105514631,90.99741190523592,90.12641847501493,8750.0,0.009571628598932354
local,current_win_axis_max6,2025,76959,13365,5.758249158249158,8216,10.675814394677685,72.59150976493977,72.4051767824426,14340.0,0.002566870190474656
local,current_win_axis_max6,2026,40054,6960,5.754885057471264,4521,11.287262196035353,77.06246567134369,76.85948968891996,8130.0,0.0026339149760582635
local,win_axis1_max3,2025,39154,13364,2.929811433702484,4878,12.458497216120959,73.21729580630331,72.98079378862951,9260.0,0.00323013865875992
local,win_axis1_max3,2026,20390,6959,2.930018680844949,2696,13.222167729279057,76.39431093673369,76.07650809220206,6480.0,0.0041600328693955115
local,place_axis1_max3,2025,39607,13365,2.9634867190422747,5077,12.818441184639079,73.35900219658141,73.12520514050547,9260.0,0.003187026119158983
local,place_axis1_max3,2026,20617,6960,2.962212643678161,2779,13.479167677159626,76.44516661007906,76.17257602949023,5620.0,0.0035658314668764713
local,pair_probability_top1,2025,13365,13365,1.0,2544,19.034792368125704,75.96558174335952,75.62888140665919,4500.0,0.004432274840438105
local,pair_probability_top1,2026,6960,6960,1.0,1345,19.32471264367816,75.77729885057471,75.50862068965517,1870.0,0.0035456286380614703
local,pair_probability_top2,2025,26729,13365,1.9999251777029554,4511,16.876800478880615,75.55164802274683,75.38329155598788,4500.0,0.0022283625991621355
local,pair_probability_top2,2026,13920,6960,2.0,2411,17.320402298850574,77.14727011494253,76.94971264367815,2750.0,0.0025607836929294435
local,pair_probability_top3,2025,40042,13365,2.9960344182566403,5971,14.91184256530643,73.60970980470506,73.37845262474401,9260.0,0.0031416667797576235
local,pair_probability_top3,2026,20848,6960,2.995402298850575,3259,15.632194934765925,78.85696469685341,78.71930161166539,2870.0,0.0017457314736528367
local,independent_product_top1,2025,13365,13365,1.0,2119,15.854844743733631,75.92667414889637,75.64758698092031,3730.0,0.0036757459891994166
local,independent_product_top1,2026,6960,6960,1.0,1167,16.767241379310345,80.73132183908046,80.02298850574712,4930.0,0.008773959315880332
local,independent_product_top2,2025,26729,13365,1.9999251777029554,3919,14.661977627296194,76.39155972913315,76.0451195330914,9260.0,0.004535058549271011
local,independent_product_top2,2026,13920,6960,2.0,2134,15.330459770114944,77.54454022988506,77.19037356321839,4930.0,0.00456726760667766
local,independent_product_top3,2025,40042,13365,2.9960344182566403,5431,13.563258578492581,74.3731581839069,74.11243194645623,10440.0,0.0035056496700861303
local,independent_product_top3,2026,20848,6960,2.995402298850575,2949,14.145241749808136,77.57338833461243,77.29614351496546,5780.0,0.003573968155820065
