market,strategy,bets,races,bets_per_race,hits,hit_rate,roi,roi_without_max,max_payout,max_share
jra,current_win_axis_max6,19511,3351,5.822441062369442,1582,8.108246630106095,84.58971862026549,83.73584132028087,16660.0,0.010094339051035186
jra,win_axis1_max3,9901,3350,2.9555223880597015,920,9.291990708009292,80.52216947783052,79.63842036157963,8750.0,0.010975227343994982
jra,place_axis1_max3,10004,3351,2.985377499253954,956,9.556177528988405,83.54558176729309,82.67093162734906,8750.0,0.010469136984170666
jra,pair_probability_top1,3351,3351,1.0,444,13.249776186213072,85.57743957027753,84.01671142942405,5230.0,0.018237612023572897
jra,pair_probability_top2,6702,3351,2.0,798,11.906893464637422,82.59325574455386,81.81289167412713,5230.0,0.009448278353867832
jra,pair_probability_top3,10046,3351,2.9979110713219934,1084,10.790364324109099,82.59506271152698,82.0744574955206,5230.0,0.006303103344380837
jra,independent_product_top1,3351,3351,1.0,386,11.518949567293344,94.57176962100866,92.27991644285288,7680.0,0.02423400965573822
jra,independent_product_top2,6702,3351,2.0,714,10.653536257833482,93.71829304685168,92.41271262309758,8750.0,0.013930902722496417
jra,independent_product_top3,10046,3351,2.9979110713219934,1007,10.023890105514631,90.99741190523592,90.12641847501493,8750.0,0.009571628598932354
local,current_win_axis_max6,117013,20325,5.75709717097171,12737,10.885115329066002,74.12193516959654,73.99938468375309,14340.0,0.0016533632798853483
local,win_axis1_max3,59544,20323,2.929882399252079,7574,12.720005374177079,74.30521966948811,74.14970442026065,9260.0,0.0020929249643456896
local,place_axis1_max3,60224,20325,2.963050430504305,7856,13.044633368756642,74.41551540913922,74.26175611052072,9260.0,0.0020662263477329527
local,pair_probability_top1,20325,20325,1.0,3889,19.134071340713408,75.90110701107011,75.67970479704798,4500.0,0.002916982673122922
local,pair_probability_top2,40649,20325,1.999950799507995,6922,17.02870919333809,76.09805899284115,75.98735516248863,4500.0,0.0014547523526578325
local,pair_probability_top3,60890,20325,2.9958179581795816,9230,15.158482509443258,75.40630645426178,75.25422893742815,9260.0,0.0020167745111064166
local,independent_product_top1,20325,20325,1.0,3286,16.167281672816728,77.5719557195572,77.32939729397295,4930.0,0.0031268829480227064
local,independent_product_top2,40649,20325,1.999950799507995,6053,14.890895224974784,76.786390809122,76.55858692710768,9260.0,0.0029667220924681783
local,independent_product_top3,60890,20325,2.9958179581795816,8380,13.762522581704713,75.46887830514042,75.29742157989817,10440.0,0.0022718864927208236
