market,model,rows,logloss,brier,auc,probability_bin,predicted_mean,actual_hit_rate
jra,prob_independent,39477,0.2819965463100624,0.07528012090966146,0.6020145251525442,,,
jra,prob_logistic,39477,0.27179322022057334,0.07334822817285228,0.6729958668823014,,,
jra,prob_hist_gb,39477,0.2753480653334857,0.07412389552858198,0.6567443959661228,,,
jra,pred_wide_hit_probability,39477,0.27179322022057334,0.07334822817285228,0.6729958668823014,,,
jra,calibration_bin,4485,,,,"(0.0, 0.0165]",0.009197238661180532,0.021181716833890748
jra,calibration_bin,4910,,,,"(0.0165, 0.0231]",0.023123698924343485,0.04338085539714868
jra,calibration_bin,7596,,,,"(0.0231, 0.0492]",0.049174839593393596,0.05318588730911006
jra,calibration_bin,5998,,,,"(0.0492, 0.0593]",0.05887108982341695,0.07235745248416138
jra,calibration_bin,7182,,,,"(0.0593, 0.095]",0.09492034630624673,0.09565580618212197
jra,calibration_bin,1740,,,,"(0.095, 0.12]",0.11185112589701347,0.10057471264367816
jra,calibration_bin,7194,,,,"(0.12, 0.163]",0.15998928710301086,0.15638031693077564
jra,calibration_bin,372,,,,"(0.163, 0.5]",0.35965668637417825,0.3629032258064516
local,prob_independent,236939,0.34126934549082666,0.09719227329352172,0.6097482069189999,,,
local,prob_logistic,236939,0.32416910255172543,0.0934372051644848,0.696806493476497,,,
local,prob_hist_gb,236939,0.32450545726706914,0.09359922224263884,0.6950497736041399,,,
local,pred_wide_hit_probability,236939,0.32416910255172543,0.0934372051644848,0.696806493476497,,,
local,calibration_bin,26452,,,,"(0.0, 0.0297]",0.02264037736159715,0.025971571147739302
local,calibration_bin,21288,,,,"(0.0297, 0.0411]",0.037494559197823185,0.044767004885381434
local,calibration_bin,24379,,,,"(0.0411, 0.0544]",0.050458897266152034,0.059395381270765824
local,calibration_bin,26934,,,,"(0.0544, 0.0736]",0.06754535281135571,0.06968886908739882
local,calibration_bin,20768,,,,"(0.0736, 0.0832]",0.07926120327236486,0.08681625577812019
local,calibration_bin,24462,,,,"(0.0832, 0.117]",0.10376641795085838,0.10465211348213556
local,calibration_bin,29814,,,,"(0.117, 0.143]",0.13409691971150156,0.12796001878312202
local,calibration_bin,18366,,,,"(0.143, 0.174]",0.16294582916551245,0.15757377763258196
local,calibration_bin,21703,,,,"(0.174, 0.238]",0.1904773745683238,0.18444454683684283
local,calibration_bin,22773,,,,"(0.238, 0.999]",0.29946600176679905,0.275194309050191
